department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
HD,4964,Field Study,Verdu,60859,3,3.58,11,72.7,18.2,9.1,0.0,0.0,0
HD,1004,Human Development I,Sudano,61459,3,3.53,44,61.4,36.4,0.0,2.3,0.0,0
HD,1004,Human Development I,Day,61460,3,3.28,57,59.6,21.1,10.5,7.0,1.8,0
HD,2304,Family Relationships,Bigby,61463,3,2.62,53,41.5,20.8,13.2,9.4,15.1,0
HD,2314,Human Sexuality,Austin,61464,3,3.49,48,66.7,25.0,4.2,0.0,4.2,1
HD,2314,Human Sexuality,Brooks,61465,3,3.74,46,87.0,4.3,8.7,0.0,0.0,0
HD,2335,Principles of Human Services,Komelski,62026,3,2.84,26,42.3,26.9,15.4,7.7,7.7,0
HD,4364,Gender And Family Diversity,Neeves,62027,3,3.56,35,65.7,20.0,11.4,2.9,0.0,0
HD,1004,Human Development I,Chen,62007,3,3.48,32,78.1,9.4,6.3,0.0,6.3,2
HD,2004,Human Development II,Munly,62008,3,3.59,37,70.3,18.9,10.8,0.0,0.0,0
HD,2314,Human Sexuality,Palit,62009,3,3.54,40,72.5,17.5,5.0,5.0,0.0,0
HD,3224,Middle Child & Adolescence,Faas,62015,3,3.75,46,87.0,10.9,0.0,0.0,2.2,0
HIST,3544,World War II,Farrar,61990,3,3.75,50,76.0,22.0,2.0,0.0,0.0,1
HIST,1116,History of the United States,Shelton,61469,3,3.31,28,60.7,21.4,10.7,3.6,3.6,0
HIST,3224,History of Virginia,Williams,61913,3,3.50,16,50.0,50.0,0.0,0.0,0.0,0
HIST,2124,Issues in World History,Forte,61919,3,3.18,21,28.6,61.9,9.5,0.0,0.0,1
HIST,1025,Intro European Civ,Murphree,61920,3,3.25,24,50.0,41.7,4.2,4.2,0.0,1
HNFE,3824,Kinesiology,Williams,60880,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
HORT,4324,Greenhouse Management,Scoggins,61476,3,3.47,11,63.6,36.4,0.0,0.0,0.0,0
HTM,2454,Travel & Tourism Management,Murrmann,61478,3,3.03,24,50.0,33.3,4.2,0.0,12.5,0
HTM,2454,Travel & Tourism Management,McGehee,61479,3,3.52,23,78.3,13.0,4.3,4.3,0.0,0
HTM,2514,Catering Management,Baker,61480,3,2.48,13,7.7,53.8,23.1,7.7,7.7,0
HTM,2464,Introduction to Service,Magnini,61784,3,3.03,26,30.8,50.0,15.4,0.0,3.8,0
HTM,2954,HTM Study Abroad-Swizterland,Uysal,60900,3,3.66,10,90.0,10.0,0.0,0.0,0.0,0
HTM,3954,HTM Study Abroad-Switzerland,Uysal,60906,3,3.79,10,100.0,0.0,0.0,0.0,0.0,0
HTM,3954,HTM Study Abroad France,Couture,60907,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
HTM,4424,Events MGT Study Abroad France,Couture,60908,3,4.00,18,100.0,0.0,0.0,0.0,0.0,0
HUM,1224,HUM: Renaissance,Murphree,61481,3,3.52,24,75.0,12.5,8.3,0.0,4.2,0
HUM,1704,Intro Appal Studies,Jackson,61483,3,3.50,27,74.1,14.8,3.7,3.7,3.7,0
HUM,1924,Modern Asian Cultures,Taylor,62044,3,3.50,18,77.8,5.6,5.6,11.1,0.0,0
IDS,2214,IDS Studio for Minors,Green,60920,6,3.71,34,70.6,29.4,0.0,0.0,0.0,0
IDST,4114,Senior Research Seminar,Henderson,61904,3,2.71,13,46.2,15.4,7.7,15.4,15.4,0
ISE,2214,Mfg Processes Lab,Ratcliff,62103,1,3.42,19,57.9,26.3,15.8,0.0,0.0,0
ISE,2014,Engineering Economy,Koelling,60931,2,2.90,23,34.8,34.8,21.7,0.0,8.7,0
ISE,2404,Deterministic Oper Research,Travis,60932,3,2.95,28,42.9,25.0,28.6,0.0,3.6,0
ISE,3014,Work Meas & Meth Engr,Mehta,60933,3,2.84,16,31.3,37.5,18.8,12.5,0.0,0
ISE,3414,Probabilistic Operations Res,Fraticelli,60934,3,1.57,25,8.0,16.0,32.0,20.0,24.0,0
ISE,3614,Human Factors Engr,Agnew,60935,3,2.98,18,33.3,44.4,11.1,11.1,0.0,0
ITDS,3954,Study Abroad-Interior Design,Tew,60945,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
MASC,1024,"Math Sci, Lib Arts",Clemons,61929,3,2.27,20,40.0,15.0,5.0,10.0,30.0,0
