department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
EDCT,4204,Managing Career & Tech Wk Prog,Price,70581,3,4.00,27,100.0,0.0,0.0,0.0,0.0,0
EDHL,1514,Personal Health,Smith,71211,3,3.89,133,94.0,3.0,2.3,0.0,0.8,0
EDHL,3534,Drug Education,Redican,71212,3,3.97,95,96.8,3.2,0.0,0.0,0.0,0
EDPE,2204,Creative Dance,Lepczyk,70604,3,3.72,16,81.3,18.8,0.0,0.0,0.0,0
EDRE,6606,Quan Res Methods in Educ II,Filer,70615,3,3.97,12,100.0,0.0,0.0,0.0,0.0,0
ELPS,6044,Gov and Pol in Educ,Brewster,71522,3,3.98,15,100.0,0.0,0.0,0.0,0.0,0
ELPS,6044,Gov and Pol in Educ,Shifflette,71523,3,3.97,12,100.0,0.0,0.0,0.0,0.0,0
ELPS,6004,Theories of Ed Admin,Cash,71524,3,4.00,13,100.0,0.0,0.0,0.0,0.0,0
ENGE,1104,Exploration of Digital Future,Chandrasekar,70616,2,3.42,33,48.5,45.5,6.1,0.0,0.0,0
ENGE,1114,Exploration Engineering Design,Whysong,70617,2,2.60,34,17.6,41.2,32.4,5.9,2.9,0
ENGE,1434,Fundamentals of Engineering,Spangler,70619,5,3.34,28,46.4,42.9,10.7,0.0,0.0,0
ENGE,1434,Fundamentals of Engineering,Spangler,70620,5,3.16,29,24.1,69.0,6.9,0.0,0.0,0
ENGE,1114,Exploration Engineering Design,Knott,71612,2,2.37,30,6.7,40.0,43.3,6.7,3.3,2
ENGL,3764,Technical Writing,Hagedorn,71663,3,3.69,20,75.0,20.0,5.0,0.0,0.0,0
ENGL,1105,Freshman English,Harvill,70622,3,3.89,21,90.5,9.5,0.0,0.0,0.0,0
ENGL,1106,Freshman English,Le Corre-Cochran,70623,3,2.48,20,25.0,35.0,10.0,20.0,10.0,1
ENGL,3154,"Literature, Medicine & Culture",Hausman,71517,3,3.32,21,52.4,38.1,4.8,0.0,4.8,0
ENGL,1654,Intro to Science Fiction,Patton,71225,3,3.85,42,95.2,2.4,0.0,2.4,0.0,0
ENGL,3764,Technical Writing,Mooney,71227,3,3.19,21,57.1,23.8,4.8,9.5,4.8,0
ENGL,3764,Technical Writing,Mooney,71229,3,3.48,17,58.8,41.2,0.0,0.0,0.0,2
ESM,2104,Statics,Venters,70646,3,2.02,26,3.8,38.5,26.9,19.2,11.5,2
ESM,2204,Mechanics of Deformable Bodies,Chang,70647,3,3.04,77,41.6,32.5,19.5,5.2,1.3,0
ESM,2304,Dynamics,Hendricks,70648,3,2.02,52,13.5,23.1,32.7,15.4,15.4,3
FIN,3055,Legal Environment of Business,Malone,70662,3,2.69,35,20.0,31.4,40.0,8.6,0.0,0
FIN,3104,Introduction to Finance,Pinkerton,70663,3,2.36,24,25.0,20.8,29.2,12.5,12.5,3
FIN,4244,Asset Valuation & Governance,Pinkerton,70664,3,3.19,16,18.8,81.3,0.0,0.0,0.0,0
GEOS,1024,Resources Geology,Johnson,70715,3,3.03,19,26.3,52.6,15.8,5.3,0.0,0
HD,3304,Advanced Helping Skills,Benson,70738,3,3.87,12,91.7,8.3,0.0,0.0,0.0,1
HD,4964,Field Study,Verdu,70739,1,3.90,34,91.2,8.8,0.0,0.0,0.0,0
HD,1004,Human Development I,Leventhal,71235,3,3.33,44,68.2,13.6,6.8,6.8,4.5,1
HD,1004,Human Development I,Williams,71236,3,3.48,32,71.9,12.5,9.4,6.3,0.0,1
HD,2004,Human Development II,Komelski,71237,3,3.37,55,70.9,10.9,9.1,9.1,0.0,0
HD,2304,Family Relationships,Kennington,71238,3,3.14,42,52.4,26.2,9.5,7.1,4.8,0
HD,2314,Human Sexuality,Austin,71239,3,3.04,33,45.5,27.3,18.2,3.0,6.1,0
HD,2314,Human Sexuality,Klemme,71240,3,3.73,38,84.2,13.2,0.0,0.0,2.6,0
HD,5424,Life Span Development,Millikin,71363,3,4.00,19,100.0,0.0,0.0,0.0,0.0,0
HD,5744,Fam Ther Persp on Group Couns,Hendrickson,71364,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
HD,5744,TS: Pscy Ther w/ Chldrn/Adole,McNerney,71365,3,3.96,16,93.8,6.3,0.0,0.0,0.0,0
HD,5964,Practicum,McCollum,71367,1,3.94,10,100.0,0.0,0.0,0.0,0.0,0
HD,2314,Human Sexuality,Palit,71497,3,3.74,24,87.5,8.3,0.0,4.2,0.0,0
HD,1004,Human Development I,Williams,71605,3,3.48,29,72.4,17.2,3.4,0.0,6.9,0
HD,2314,Human Sexuality,Neeves,71559,3,3.40,30,60.0,30.0,3.3,6.7,0.0,0
HD,2335,Principles of Human Services,Gambrel,71595,3,2.89,29,44.8,20.7,17.2,13.8,3.4,1
HD,4374,Parent Education and Practice,Wiles,71596,3,3.75,29,89.7,6.9,0.0,0.0,3.4,0
HIST,2984,SS:Terrorism & Warfare,Farrar,71618,3,3.50,22,59.1,36.4,4.5,0.0,0.0,0
HIST,2346,History of the Middle East,Alexander,71610,3,3.54,24,70.8,20.8,8.3,0.0,0.0,1
HIST,2345,History of the Middle East,Yousefi,71611,3,3.23,14,50.0,28.6,14.3,0.0,7.1,0
HIST,3324,The Medieval World,Alexander,71488,3,3.19,16,37.5,56.3,0.0,6.3,0.0,0
HIST,3224,History of Virginia,Williams,71489,3,3.32,18,61.1,22.2,11.1,0.0,5.6,0
HIST,1024,Ancient History,Becker,71242,3,3.48,29,58.6,31.0,6.9,3.4,0.0,0
HIST,3534,Modern Military History,Farrar,71243,3,3.55,46,58.7,37.0,4.3,0.0,0.0,1
HTM,2454,Travel & Tourism Mgt,Kim,71246,3,3.20,43,55.8,25.6,9.3,4.7,4.7,0
HTM,2514,Catering Management,Du,71247,3,3.17,13,69.2,7.7,15.4,0.0,7.7,0
HUM,1704,Intro Appal Studies,Jackson,71251,3,3.48,23,73.9,13.0,8.7,0.0,4.3,0
HUM,2204,The Creative Process,Saffle,71252,3,1.95,19,15.8,26.3,21.1,10.5,26.3,2
HUM,1124,HUM: Roman/Christian,Becker,71500,3,3.13,27,59.3,18.5,11.1,3.7,7.4,0
HUM,1604,Intro Hum and Arts,Saffle,71502,3,3.26,22,63.6,22.7,4.5,0.0,9.1,0
IDST,3114,"TS:Sex, Lies and Identity",Henderson,71503,3,3.07,23,52.2,30.4,0.0,4.3,13.0,0
IDST,4114,Senior Research Seminar,Watson,71504,3,3.49,24,75.0,16.7,0.0,0.0,8.3,0
IS,2064,Global Econ and World Politics,Powell Thomas,71537,3,2.70,11,36.4,18.2,27.3,18.2,0.0,2
ISE,2014,Engineering Economy,Brozina,70794,2,3.21,30,53.3,30.0,6.7,3.3,6.7,0
ISE,3024,Data Mgmt For Ind Engrs,Edmison,70795,3,2.87,22,31.8,50.0,4.5,9.1,4.5,0
ISE,3214,Fac Plan & Matl Hand,Rickli,70796,3,2.73,23,26.1,30.4,34.8,8.7,0.0,0
ISE,3424,Disc-Event Simulation,Steeneck,70797,3,2.94,33,24.2,48.5,24.2,3.0,0.0,0
LAR,1144,Introduction to LA,Calorusso,71255,1,3.37,40,55.0,40.0,0.0,2.5,2.5,1
MATH,1016,Elem Calc w/Trig I,Dickson,70831,3,2.31,19,21.1,26.3,36.8,0.0,15.8,1
MATH,1114,Elementary Linear Algebra,Hester,70832,2,3.12,23,52.2,26.1,13.0,0.0,8.7,0
MATH,1206,Calculus,Guerra Huaman,70833,3,2.54,35,34.3,20.0,25.7,5.7,14.3,0
MATH,1224,Vector Geometry,Dominy,70834,2,2.54,37,27.0,32.4,16.2,13.5,10.8,0
MATH,1526,Elem Calc w/Matrices,Wills,70835,3,2.25,15,20.0,13.3,40.0,26.7,0.0,1
MATH,2015,Elem Calc w/Trig II,Chang,70836,3,3.05,21,47.6,28.6,9.5,14.3,0.0,0
MATH,2214,Intro Diff Equations,Spies,70837,3,2.16,40,25.0,20.0,22.5,17.5,15.0,2
MATH,2224,Multivariable Calculus,Hanks,70838,3,2.61,21,23.8,23.8,52.4,0.0,0.0,0
MATH,2224,Multivariable Calculus,Van Wyk,70839,3,2.30,22,18.2,27.3,36.4,4.5,13.6,0
MATH,3124,Modern Algebra,Loehr,70842,3,2.67,15,26.7,26.7,33.3,13.3,0.0,0
MATH,3134,Applied Combinatorics,Mattox,70843,3,2.81,18,33.3,22.2,38.9,0.0,5.6,0
MATH,3214,Calculus of Several Variables,Amaya,70844,3,2.32,19,15.8,42.1,15.8,10.5,15.8,1
MATH,4564,Operational Methods,Kim,70847,3,3.32,12,50.0,41.7,8.3,0.0,0.0,1
ME,3504,Dynamic Systems - Vibrations,Kirk,70854,3,3.20,27,48.1,40.7,3.7,3.7,3.7,0
ME,4005,Mechanical Engineering Lab,Rice,70855,3,2.16,24,4.2,29.2,50.0,8.3,8.3,1
ME,2124,Intro Thermal Fluid,Dancey,71515,2,2.05,15,6.7,33.3,26.7,26.7,6.7,1
MGT,3304,Mgt Th & Lead Pract,Cortes,70895,3,3.55,34,61.8,32.4,5.9,0.0,0.0,0
MGT,4394,Business Policy and Strategy,Zhao,70896,3,3.09,11,18.2,72.7,9.1,0.0,0.0,0
MGT,4394,Business Policy and Strategy,Cortes,70897,3,3.15,22,27.3,54.5,18.2,0.0,0.0,0
MGT,5954,Study Abroad,Jacobina,71594,2,3.59,21,66.7,28.6,4.8,0.0,0.0,0
MKTG,4754,Strategic Marketing,Evans,70912,3,3.81,14,85.7,14.3,0.0,0.0,0.0,0
MKTG,4354,Mktg Chnl & Lgst,Evans,71256,3,3.54,35,62.9,28.6,8.6,0.0,0.0,0
PAPA,6324,Per Proc & Policy,Woodard,71393,3,3.85,13,84.6,15.4,0.0,0.0,0.0,0
PHIL,1204,Knowledge and Reality,Patton,71257,3,3.02,31,45.2,35.5,6.5,0.0,12.9,0
PHIL,1304,Morality and Justice,Milona,71258,3,2.77,27,25.9,40.7,25.9,0.0,7.4,0
PHIL,2304,Global Ethics,Caron,71259,3,3.39,33,51.5,42.4,3.0,3.0,0.0,0
PHIL,1504,Language and Logic,Heflin,70948,3,2.74,10,40.0,20.0,30.0,0.0,10.0,0
PHIL,2304,Global Ethics,Petkova,70949,3,3.09,17,17.6,70.6,11.8,0.0,0.0,0
PHYS,2206,General Physics,Halpin,70955,3,3.29,47,44.7,44.7,8.5,2.1,0.0,0
PHYS,2216,General Physics Laboratory,Pitt,70958,1,4.00,18,100.0,0.0,0.0,0.0,0.0,0
PHYS,2216,General Physics Laboratory,Pitt,70959,1,3.91,13,100.0,0.0,0.0,0.0,0.0,0
PHYS,2216,General Physics Laboratory,Pitt,70960,1,3.93,12,100.0,0.0,0.0,0.0,0.0,0
PHYS,2306,Foundations of Physics I,Kim,70970,4,2.32,20,30.0,10.0,30.0,25.0,5.0,1
PSCI,1014,US Gov & Politics,Brians,70983,3,3.24,28,50.0,42.9,3.6,0.0,3.6,0
